Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,angle_0,angle_1,angle_2,angle_3,polynomial,first_timestamp,sync_timestamp,first_sweep
1709637590.1958325,1384,1709637590,199986059,,-0.50567537678437,-0.5170956267233349,-0.5053421868200756,-0.516949118506477,10,14962900,14844687,True
1709637590.2059495,1385,1709637590,207908960,,0.7816826078661974,0.7777649137744005,0.8006187650927599,0.7967539999255235,10,15217253,14844688,False
1709637590.2261157,1386,1709637590,228545141,,-0.4957341565008617,-0.5072477473135448,-0.49522775543885,-0.5067147625799633,10,15435145,15316188,True
1709637590.2261157,1387,1709637590,228546687,,0.7850142690905626,0.7812563154467638,0.8038970205554063,0.8002721044787462,10,15689023,15316191,False
1709637590.2261157,1388,1709637590,235780480,,-0.4858329905386425,-0.49731999767975577,-0.4850733889456249,-0.49664038552002676,11,15907388,15787689,True
1709637590.2463465,1389,1709637590,255888795,,0.78825247023192,0.7845607969531114,0.8070551130541856,0.8035503599413927,11,16160771,15787689,False
1709637590.2463465,1390,1709637590,259633328,,-0.47598511112885245,-0.48745876682953604,-0.4747990979071117,-0.4863393916006542,11,16379622,16259185,True
1709637590.2463465,1391,1709637590,263832770,,0.7912503454455431,0.7879058096179063,0.8102132055529649,0.8068419668444688,11,16632518,16259189,False
1709637590.306887,1392,1709637590,308584643,,-0.45619613064484366,-0.4675897969122387,-0.4543971432562328,-0.46600395573334463,11,546901,424972,True
1709637590.306887,1393,1709637590,308585397,,0.797194120622545,0.7939425680407579,0.8160368177660997,0.8128920767077501,11,798755,424972,False
1709637590.306887,1394,1709637590,315825412,,-0.44628161324219473,-0.45776850117401846,-0.4442960633154369,-0.45574301613526114,10,1019141,896474,True
1709637590.3169901,1395,1709637590,325502881,,0.7996994230517442,0.7966476652392442,0.818622228837877,0.815570471025377,10,1270463,896474,False
1709637590.3270514,1396,1709637590,335717052,,-0.4366468800421215,-0.44809395207123526,-0.4342616213674999,-0.4458284987326122,11,1491370,1367977,True
